Date,Time,Corn,Soybean
1/1/1960,1,1,2.01
2/1/1960,2,1.01,1.99
3/1/1960,3,1.02,1.99
4/1/1960,4,1.06,2.02
5/1/1960,5,1.08,2
6/1/1960,6,1.09,1.97
7/1/1960,7,1.09,1.97
8/1/1960,8,1.07,1.99
9/1/1960,9,1.06,1.97
10/1/1960,10,0.99,1.94
11/1/1960,11,0.9,1.96
12/1/1960,12,0.92,1.99
1/1/1961,13,0.97,2.23
2/1/1961,14,1.01,2.48
3/1/1961,15,1.01,2.68
4/1/1961,16,0.97,3.02
5/1/1961,17,1.02,2.96
6/1/1961,18,1.03,2.6
7/1/1961,19,1.05,2.48
8/1/1961,20,1.04,2.49
9/1/1961,21,1.04,2.34
10/1/1961,22,1.02,2.2
11/1/1961,23,0.99,2.27
12/1/1961,24,0.99,2.3
1/1/1962,25,0.99,2.32
2/1/1962,26,1,2.32
3/1/1962,27,1,2.34
4/1/1962,28,1.02,2.38
5/1/1962,29,1.04,2.36
6/1/1962,30,1.04,2.34
7/1/1962,31,1.05,2.35
8/1/1962,32,1.03,2.33
9/1/1962,33,1.04,2.25
10/1/1962,34,1.03,2.23
11/1/1962,35,0.99,2.3
12/1/1962,36,1.04,2.35
1/1/1963,37,1.07,2.41
2/1/1963,38,1.09,2.5
3/1/1963,39,1.1,2.51
4/1/1963,40,1.1,2.45
5/1/1963,41,1.11,2.47
6/1/1963,42,1.16,2.48
7/1/1963,43,1.19,2.44
8/1/1963,44,1.19,2.45
9/1/1963,45,1.21,2.44
10/1/1963,46,1.11,2.56
11/1/1963,47,1.05,2.66
12/1/1963,48,1.09,2.58
1/1/1964,49,1.12,2.65
2/1/1964,50,1.11,2.57
3/1/1964,51,1.13,2.55
4/1/1964,52,1.15,2.45
5/1/1964,53,1.17,2.36
6/1/1964,54,1.16,2.35
7/1/1964,55,1.12,2.34
8/1/1964,56,1.12,2.35
9/1/1964,57,1.17,2.51
10/1/1964,58,1.13,2.55
11/1/1964,59,1.07,2.57
12/1/1964,60,1.16,2.71
1/1/1965,61,1.18,2.73
2/1/1965,62,1.2,2.81
3/1/1965,63,1.21,2.85
4/1/1965,64,1.23,2.85
5/1/1965,65,1.26,2.72
6/1/1965,66,1.25,2.74
7/1/1965,67,1.22,2.69
8/1/1965,68,1.18,2.53
9/1/1965,69,1.18,2.35
10/1/1965,70,1.1,2.31
11/1/1965,71,1.04,2.36
12/1/1965,72,1.13,2.48
1/1/1966,73,1.19,2.67
2/1/1966,74,1.2,2.77
3/1/1966,75,1.17,2.71
4/1/1966,76,1.19,2.78
5/1/1966,77,1.21,2.9
6/1/1966,78,1.2,3.04
7/1/1966,79,1.27,3.37
8/1/1966,80,1.34,3.49
9/1/1966,81,1.35,2.97
10/1/1966,82,1.29,2.78
11/1/1966,83,1.26,2.8
12/1/1966,84,1.29,2.82
1/1/1967,85,1.28,2.77
2/1/1967,86,1.26,2.71
3/1/1967,87,1.28,2.74
4/1/1967,88,1.26,2.71
5/1/1967,89,1.25,2.69
6/1/1967,90,1.26,2.71
7/1/1967,91,1.21,2.66
8/1/1967,92,1.11,2.56
9/1/1967,93,1.12,2.53
10/1/1967,94,1.04,2.44
11/1/1967,95,0.98,2.43
12/1/1967,96,1.03,2.48
1/1/1968,97,1.04,2.53
2/1/1968,98,1.06,2.57
3/1/1968,99,1.06,2.57
4/1/1968,100,1.06,2.56
5/1/1968,101,1.09,2.58
6/1/1968,102,1.07,2.54
7/1/1968,103,1.04,2.52
8/1/1968,104,0.99,2.51
9/1/1968,105,1.01,2.4
10/1/1968,106,0.96,2.32
11/1/1968,107,1.04,2.4
12/1/1968,108,1.05,2.42
1/1/1969,109,1.08,2.46
2/1/1969,110,1.09,2.48
3/1/1969,111,1.09,2.48
4/1/1969,112,1.12,2.51
5/1/1969,113,1.19,2.56
6/1/1969,114,1.18,2.52
7/1/1969,115,1.18,2.52
8/1/1969,116,1.18,2.51
9/1/1969,117,1.15,2.28
10/1/1969,118,1.12,2.23
11/1/1969,119,1.07,2.3
12/1/1969,120,1.09,2.3
1/1/1970,121,1.12,2.36
2/1/1970,122,1.14,2.4
3/1/1970,123,1.13,2.42
4/1/1970,124,1.15,2.48
5/1/1970,125,1.18,2.52
6/1/1970,126,1.21,2.6
7/1/1970,127,1.24,2.72
8/1/1970,128,1.27,2.65
9/1/1970,129,1.38,2.66
10/1/1970,130,1.34,2.77
11/1/1970,131,1.29,2.86
12/1/1970,132,1.36,2.77
1/1/1971,133,1.42,2.86
2/1/1971,134,1.43,2.92
3/1/1971,135,1.43,2.91
4/1/1971,136,1.41,2.8
5/1/1971,137,1.38,2.85
6/1/1971,138,1.43,2.98
7/1/1971,139,1.36,3.18
8/1/1971,140,1.19,3.09
